2021-07-12 17:28:08 INFO  SortVariant:28 - Change position
2021-07-12 17:28:08 INFO  SortVariant:28 - Change position
2021-07-12 17:28:08 INFO  SortVariant:28 - Change position
2021-07-12 17:28:08 INFO  SortVariant:28 - Change position
2021-07-12 17:28:08 INFO  SortVariant:28 - Change position
2021-07-12 17:28:08 INFO  SortVariant:28 - Change position
2021-07-12 17:28:08 INFO  SortVariant:28 - Change position
2021-07-12 17:28:08 INFO  SortVariant:28 - Change position
2021-07-12 17:28:08 INFO  SortVariant:28 - Change position
2021-07-12 17:28:08 INFO  SortVariant:28 - Change position
2021-07-12 17:28:08 INFO  SortVariant:28 - Change position
2021-07-12 17:28:08 INFO  SortVariant:28 - Change position
2021-07-12 17:28:08 INFO  SortVariant:28 - Change position
2021-07-12 17:28:08 INFO  SortVariant:28 - Change position
2021-07-12 17:28:08 INFO  SortVariant:28 - Change position
2021-07-12 17:28:08 INFO  SortVariant:28 - Change position
2021-07-12 17:28:08 INFO  SortVariant:28 - Change position
2021-07-12 17:28:08 INFO  SortVariant:28 - Change position
2021-07-12 17:28:08 INFO  SortVariant:28 - Change position
2021-07-12 17:28:08 INFO  SortVariant:28 - Change position
2021-07-12 17:28:08 INFO  SortVariant:28 - Change position
2021-07-12 17:28:08 INFO  SortVariant:28 - Change position
2021-07-12 17:28:08 INFO  SortVariant:28 - Change position
2021-07-12 17:28:08 INFO  SortVariant:28 - Change position
2021-07-12 17:28:08 INFO  SortVariant:28 - Change position
2021-07-12 17:28:08 INFO  SortVariant:28 - Change position
2021-07-12 17:28:08 INFO  SortVariant:28 - Change position
2021-07-12 17:28:08 INFO  SortVariant:28 - Change position
2021-07-12 17:28:08 INFO  SortVariant:28 - Change position
2021-07-12 17:28:08 INFO  SortVariant:28 - Change position
2021-07-12 17:28:08 INFO  SortVariant:28 - Change position
2021-07-12 17:28:08 INFO  SortVariant:28 - Change position
2021-07-12 17:28:08 INFO  SortVariant:28 - Change position
2021-07-12 17:28:08 INFO  SortVariant:28 - Change position
2021-07-12 17:28:08 INFO  SortVariant:28 - Change position
2021-07-12 17:28:08 INFO  SortVariant:28 - Change position
2021-07-12 17:28:08 INFO  SortVariant:28 - Change position
2021-07-12 17:28:08 INFO  SortVariant:28 - Change position
2021-07-12 17:28:08 INFO  SortVariant:28 - Change position
2021-07-12 17:28:08 INFO  SortVariant:28 - Change position
2021-07-12 17:28:09 INFO  SortVariant:28 - Change position
2021-07-12 17:28:09 INFO  SortVariant:28 - Change position
2021-07-12 17:28:09 INFO  SortVariant:28 - Change position
2021-07-12 17:28:09 INFO  SortVariant:28 - Change position
2021-07-12 17:28:09 INFO  SortVariant:28 - Change position
2021-07-12 17:28:09 INFO  SortVariant:28 - Change position
2021-07-12 17:28:09 INFO  SortVariant:28 - Change position
2021-07-12 17:28:09 INFO  SortVariant:28 - Change position
2021-07-12 17:28:09 INFO  SortVariant:28 - Change position
2021-07-12 17:28:09 INFO  SortVariant:28 - Change position
2021-07-12 17:28:09 INFO  SortVariant:28 - Change position
2021-07-12 17:28:09 INFO  SortVariant:28 - Change position
2021-07-12 17:28:09 INFO  SortVariant:28 - Change position
2021-07-12 17:28:09 INFO  SortVariant:28 - Change position
2021-07-12 17:28:09 INFO  SortVariant:28 - Change position
2021-07-12 17:28:09 INFO  SortVariant:28 - Change position
2021-07-12 17:28:09 INFO  SortVariant:28 - Change position
2021-07-12 17:28:09 INFO  SortVariant:28 - Change position
2021-07-12 17:28:09 INFO  SortVariant:28 - Change position
2021-07-12 17:28:09 INFO  SortVariant:28 - Change position
2021-07-12 17:28:09 INFO  SortVariant:28 - Change position
2021-07-12 17:28:09 INFO  SortVariant:28 - Change position
2021-07-12 17:28:09 INFO  SortVariant:28 - Change position
2021-07-12 17:28:09 INFO  SortVariant:28 - Change position
2021-07-12 17:28:09 INFO  SortVariant:28 - Change position
2021-07-12 17:28:09 INFO  SortVariant:28 - Change position
2021-07-12 17:28:09 INFO  SortVariant:28 - Change position
2021-07-12 17:28:09 INFO  SortVariant:28 - Change position
2021-07-12 17:28:09 INFO  SortVariant:28 - Change position
2021-07-12 17:28:09 INFO  SortVariant:28 - Change position
2021-07-12 17:28:09 INFO  SortVariant:28 - Change position
2021-07-12 17:28:09 INFO  SortVariant:28 - Change position
2021-07-12 17:28:09 INFO  SortVariant:28 - Change position
2021-07-12 17:28:09 INFO  SortVariant:28 - Change position
2021-07-12 17:28:09 INFO  SortVariant:28 - Change position
2021-07-12 17:28:09 INFO  SortVariant:28 - Change position
2021-07-12 17:28:09 INFO  SortVariant:28 - Change position
2021-07-12 17:28:09 INFO  SortVariant:28 - Change position
2021-07-12 17:28:09 INFO  SortVariant:28 - Change position
2021-07-12 17:28:09 INFO  SortVariant:28 - Change position
2021-07-12 17:28:09 INFO  SortVariant:28 - Change position
2021-07-12 17:28:09 INFO  SortVariant:28 - Change position
2021-07-12 17:28:09 INFO  SortVariant:28 - Change position
2021-07-12 17:28:09 INFO  SortVariant:28 - Change position
2021-07-12 17:28:09 INFO  SortVariant:28 - Change position
2021-07-12 17:28:09 INFO  SortVariant:28 - Change position
2021-07-12 17:28:09 INFO  SortVariant:28 - Change position
2021-07-12 17:28:09 INFO  SortVariant:28 - Change position
2021-07-12 17:28:09 INFO  SortVariant:28 - Change position
2021-07-12 17:28:09 INFO  SortVariant:28 - Change position
2021-07-12 17:28:09 INFO  SortVariant:28 - Change position
2021-07-12 17:28:09 INFO  SortVariant:28 - Change position
2021-07-12 17:28:09 INFO  SortVariant:28 - Change position
2021-07-12 17:28:09 INFO  SortVariant:28 - Change position
2021-07-12 17:28:09 INFO  SortVariant:28 - Change position
2021-07-12 17:28:09 INFO  SortVariant:28 - Change position
2021-07-12 17:28:09 INFO  SortVariant:28 - Change position
2021-07-12 17:28:09 INFO  SortVariant:28 - Change position
2021-07-12 17:28:09 INFO  SortVariant:28 - Change position
2021-07-12 17:28:09 INFO  SortVariant:28 - Change position
2021-07-12 17:28:09 INFO  SortVariant:28 - Change position
2021-07-12 17:28:09 INFO  SortVariant:28 - Change position
2021-07-12 17:28:09 INFO  SortVariant:28 - Change position
2021-07-12 17:28:09 INFO  SortVariant:28 - Change position
