2022-02-09 04:15:53 INFO  SortVariant:28 - Change position
2022-02-09 04:15:53 INFO  SortVariant:28 - Change position
2022-02-09 04:15:53 INFO  SortVariant:28 - Change position
2022-02-09 04:15:53 INFO  SortVariant:28 - Change position
2022-02-09 04:15:53 INFO  SortVariant:28 - Change position
2022-02-09 04:15:53 INFO  SortVariant:28 - Change position
2022-02-09 04:15:53 INFO  SortVariant:28 - Change position
2022-02-09 04:15:53 INFO  SortVariant:28 - Change position
2022-02-09 04:15:53 INFO  SortVariant:28 - Change position
2022-02-09 04:15:53 INFO  SortVariant:28 - Change position
2022-02-09 04:15:53 INFO  SortVariant:28 - Change position
2022-02-09 04:15:54 INFO  SortVariant:28 - Change position
2022-02-09 04:15:54 INFO  SortVariant:28 - Change position
2022-02-09 04:15:54 INFO  SortVariant:28 - Change position
2022-02-09 04:15:54 INFO  SortVariant:28 - Change position
2022-02-09 04:15:54 INFO  SortVariant:28 - Change position
2022-02-09 04:15:54 INFO  SortVariant:28 - Change position
2022-02-09 04:15:54 INFO  SortVariant:28 - Change position
2022-02-09 04:15:54 INFO  SortVariant:28 - Change position
2022-02-09 04:15:54 INFO  SortVariant:28 - Change position
2022-02-09 04:15:54 INFO  SortVariant:28 - Change position
2022-02-09 04:15:54 INFO  SortVariant:28 - Change position
2022-02-09 04:15:54 INFO  SortVariant:28 - Change position
2022-02-09 04:15:54 INFO  SortVariant:28 - Change position
2022-02-09 04:15:54 INFO  SortVariant:28 - Change position
2022-02-09 04:15:54 INFO  SortVariant:28 - Change position
2022-02-09 04:15:54 INFO  SortVariant:28 - Change position
2022-02-09 04:15:54 INFO  SortVariant:28 - Change position
2022-02-09 04:15:54 INFO  SortVariant:28 - Change position
2022-02-09 04:15:54 INFO  SortVariant:28 - Change position
2022-02-09 04:15:54 INFO  SortVariant:28 - Change position
2022-02-09 04:15:54 INFO  SortVariant:28 - Change position
2022-02-09 04:15:54 INFO  SortVariant:28 - Change position
2022-02-09 04:15:54 INFO  SortVariant:28 - Change position
2022-02-09 04:15:54 INFO  SortVariant:28 - Change position
2022-02-09 04:15:54 INFO  SortVariant:28 - Change position
2022-02-09 04:15:54 INFO  SortVariant:28 - Change position
2022-02-09 04:15:54 INFO  SortVariant:28 - Change position
2022-02-09 04:15:54 INFO  SortVariant:28 - Change position
2022-02-09 04:15:54 INFO  SortVariant:28 - Change position
2022-02-09 04:15:54 INFO  SortVariant:28 - Change position
2022-02-09 04:15:54 INFO  SortVariant:28 - Change position
2022-02-09 04:15:54 INFO  SortVariant:28 - Change position
2022-02-09 04:15:54 INFO  SortVariant:28 - Change position
2022-02-09 04:15:54 INFO  SortVariant:28 - Change position
2022-02-09 04:15:54 INFO  SortVariant:28 - Change position
2022-02-09 04:15:54 INFO  SortVariant:28 - Change position
2022-02-09 04:15:54 INFO  SortVariant:28 - Change position
2022-02-09 04:15:54 INFO  SortVariant:28 - Change position
2022-02-09 04:15:54 INFO  SortVariant:28 - Change position
2022-02-09 04:15:54 INFO  SortVariant:28 - Change position
2022-02-09 04:15:54 INFO  SortVariant:28 - Change position
2022-02-09 04:15:54 INFO  SortVariant:28 - Change position
2022-02-09 04:15:54 INFO  SortVariant:28 - Change position
2022-02-09 04:15:54 INFO  SortVariant:28 - Change position
2022-02-09 04:15:54 INFO  SortVariant:28 - Change position
2022-02-09 04:15:54 INFO  SortVariant:28 - Change position
2022-02-09 04:15:54 INFO  SortVariant:28 - Change position
2022-02-09 04:15:54 INFO  SortVariant:28 - Change position
2022-02-09 04:15:54 INFO  SortVariant:28 - Change position
2022-02-09 04:15:54 INFO  SortVariant:28 - Change position
2022-02-09 04:15:54 INFO  SortVariant:28 - Change position
2022-02-09 04:15:54 INFO  SortVariant:28 - Change position
2022-02-09 04:15:54 INFO  SortVariant:28 - Change position
2022-02-09 04:15:54 INFO  SortVariant:28 - Change position
2022-02-09 04:15:54 INFO  SortVariant:28 - Change position
2022-02-09 04:15:54 INFO  SortVariant:28 - Change position
2022-02-09 04:15:54 INFO  SortVariant:28 - Change position
2022-02-09 04:15:54 INFO  SortVariant:28 - Change position
2022-02-09 04:15:54 INFO  SortVariant:28 - Change position
2022-02-09 04:15:54 INFO  SortVariant:28 - Change position
2022-02-09 04:15:54 INFO  SortVariant:28 - Change position
2022-02-09 04:15:54 INFO  SortVariant:28 - Change position
2022-02-09 04:15:54 INFO  SortVariant:28 - Change position
2022-02-09 04:15:54 INFO  SortVariant:28 - Change position
